Date,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI
2026-07-07,1071.800048828125,1308.4000244140625,2084.669921875,24398.69921875
2026-07-08,1069.300048828125,1275.9000244140625,2046.2803955078125,23882.05078125
2026-07-09,1050.800048828125,1279.800048828125,2038.323974609375,23962.80078125
2026-07-10,1068.0,1307.800048828125,2057.717529296875,24206.900390625
2026-07-13,1102.5999755859375,1296.9000244140625,2169.604248046875,24211.0
2026-07-14,1092.9000244140625,1293.0,2188.60009765625,24052.05078125
2026-07-15,1076.300048828125,1295.5,2189.199951171875,24078.5
2026-07-16,1082.4000244140625,1296.5999755859375,2201.0,24072.75
2026-07-17,1096.5,1327.199951171875,2269.0,24334.30078125
2026-07-20,1087.0999755859375,1323.0999755859375,2251.10009765625,24238.5
2026-07-21,1073.5,1303.699951171875,2221.10009765625,24187.69921875
2026-07-22,1052.0999755859375,1288.5999755859375,2208.300048828125,23996.25
2026-07-23,1047.4000244140625,1272.199951171875,2242.89990234375,23869.599609375
2026-07-24,1040.9000244140625,1278.0,2254.300048828125,23767.44921875
2026-07-27,1079.199951171875,1280.0,2295.60009765625,23995.94921875
2026-07-28,1105.699951171875,1267.699951171875,2398.0,23985.349609375
2026-07-29,1155.5999755859375,1275.9000244140625,2446.60009765625,24250.19921875
2026-07-30,1155.0999755859375,1292.9000244140625,2431.800048828125,24317.150390625
2026-07-31,1130.0999755859375,1307.800048828125,2365.60009765625,24383.599609375
2026-08-03,1180.0,1319.0,2473.699951171875,24774.30078125
2026-08-04,1167.5,1290.9000244140625,2460.0,24614.900390625
2026-08-05,1174.0,1280.0,2413.0,24624.650390625
2026-08-06,1165.0,1325.0,2373.0,24636.0
2026-08-07,1175.0999755859375,1334.800048828125,2452.699951171875,24570.650390625
2026-08-10,1183.0,1327.300048828125,2425.699951171875,24583.80078125
2026-08-11,1190.699951171875,1323.9000244140625,2445.699951171875,24471.69921875
2026-08-12,1176.0999755859375,1329.0,2349.699951171875,24435.94921875
2026-08-13,1175.0,1317.0,2375.0,24395.849609375
2026-08-14,1169.199951171875,1310.0,2361.0,24366.0
2026-08-17,1139.9000244140625,1316.0,2313.199951171875,24287.650390625
2026-08-18,1115.0,1322.0,2280.0,24154.900390625
2026-08-19,1119.800048828125,1311.0,2289.0,24078.30078125
2026-08-20,1130.0,1313.199951171875,2298.0,24231.849609375
2026-08-21,1121.0,1316.0,2302.0,24252.0
2026-08-24,1130.0,1309.800048828125,2284.10009765625,24219.05078125
2026-08-25,1144.0,1317.0,2296.199951171875,24334.55078125
2026-08-26,1120.0,1298.0,2270.0,24207.75
2026-08-27,1110.800048828125,1282.199951171875,2248.39990234375,24090.849609375
2026-08-28,1144.0,1287.0,2342.0,24175.650390625
2026-08-31,1133.800048828125,1277.0,2399.300048828125,24080.400390625
2026-09-01,1156.0,1309.0,2369.0,24055.80078125
2026-09-02,1140.0,1313.0999755859375,2348.0,23914.44921875
2026-09-03,1130.300048828125,1302.5,2320.10009765625,23873.44921875
2026-09-04,1130.0,1322.0,2304.0,23897.69921875
